cluster_id,size,members
11213.0,2,"[11213, 16807]"
11353.0,2,"[11353, 11354]"
11355.0,2,"[11355, 11359]"
11395.0,2,"[11395, 11399]"
11510.0,2,"[11510, 77564]"
11594.0,2,"[11594, 47550]"
11609.0,2,"[11609, 80690]"
11651.0,2,"[11651, 29744]"
11701.0,2,"[11701, 76729]"
11728.0,2,"[11728, 28370]"
11741.0,2,"[11741, 77510]"
11751.0,2,"[11751, 11756]"
11766.0,2,"[11766, 95073]"
6063.0,2,"[6063, 6064]"
6183.0,2,"[6183, 87798]"
6259.0,2,"[6259, 6264]"
6289.0,2,"[6289, 85733]"
5350.0,2,"[5350, 78172]"
5352.0,2,"[5352, 78169]"
5356.0,2,"[5356, 78183]"
12767.0,2,"[12767, 12769]"
12835.0,2,"[12835, 12836]"
11925.0,2,"[11925, 11926]"
11936.0,2,"[11936, 92740]"
11990.0,2,"[11990, 71465]"
12022.0,2,"[12022, 94568]"
12113.0,2,"[12113, 69919]"
12149.0,2,"[12149, 92721]"
12158.0,2,"[12158, 12159]"
12176.0,2,"[12176, 74311]"
12194.0,2,"[12194, 81624]"
12264.0,2,"[12264, 95321]"
12272.0,2,"[12272, 86306]"
12296.0,2,"[12296, 77158]"
12358.0,2,"[12358, 91077]"
12371.0,2,"[12371, 40037]"
13131.0,2,"[13131, 21462]"
13136.0,2,"[13136, 21426]"
13139.0,2,"[13139, 21456]"
13141.0,2,"[13141, 84075]"
12434.0,2,"[12434, 15628]"
12444.0,2,"[12444, 92720]"
12467.0,2,"[12467, 92415]"
12502.0,2,"[12502, 97533]"
12518.0,2,"[12518, 80120]"
12557.0,2,"[12557, 77650]"
12594.0,2,"[12594, 77754]"
12618.0,2,"[12618, 51624]"
12651.0,2,"[12651, 87641]"
12658.0,2,"[12658, 89609]"
12686.0,2,"[12686, 12691]"
12738.0,2,"[12738, 12741]"
12950.0,2,"[12950, 90341]"
12986.0,2,"[12986, 91609]"
12996.0,2,"[12996, 99105]"
13023.0,2,"[13023, 13028]"
5391.0,2,"[5391, 5396]"
5439.0,2,"[5439, 84095]"
5488.0,2,"[5488, 60459]"
5560.0,2,"[5560, 45800]"
5191.0,2,"[5191, 96088]"
5198.0,2,"[5198, 77815]"
5203.0,2,"[5203, 33632]"
5215.0,2,"[5215, 7600]"
5216.0,2,"[5216, 26945]"
5220.0,2,"[5220, 77266]"
5296.0,2,"[5296, 79120]"
5309.0,2,"[5309, 5310]"
14201.0,2,"[14201, 76852]"
14248.0,2,"[14248, 96396]"
14249.0,2,"[14249, 77267]"
14253.0,2,"[14253, 77264]"
13144.0,2,"[13144, 79378]"
13219.0,2,"[13219, 51885]"
13246.0,2,"[13246, 88043]"
13349.0,2,"[13349, 92714]"
13444.0,2,"[13444, 59219]"
13464.0,2,"[13464, 51674]"
13479.0,2,"[13479, 77533]"
13519.0,2,"[13519, 25911]"
13604.0,2,"[13604, 13605]"
13639.0,2,"[13639, 13640]"
13657.0,2,"[13657, 92602]"
12857.0,2,"[12857, 86756]"
14572.0,2,"[14572, 14573]"
14578.0,2,"[14578, 14582]"
14595.0,2,"[14595, 81014]"
14704.0,2,"[14704, 92852]"
14710.0,2,"[14710, 86891]"
14756.0,2,"[14756, 20890]"
14764.0,2,"[14764, 14768]"
13659.0,2,"[13659, 68055]"
13662.0,2,"[13662, 68054]"
13839.0,2,"[13839, 18671]"
13844.0,2,"[13844, 13845]"
13853.0,2,"[13853, 77293]"
13879.0,2,"[13879, 92916]"
14035.0,2,"[14035, 14044]"
14054.0,2,"[14054, 70917]"
14114.0,2,"[14114, 14115]"
4961.0,2,"[4961, 65580]"
4965.0,2,"[4965, 4970]"
4978.0,2,"[4978, 94761]"
5065.0,2,"[5065, 92367]"
5091.0,2,"[5091, 22549]"
15079.0,2,"[15079, 87552]"
15082.0,2,"[15082, 87572]"
15089.0,2,"[15089, 98189]"
15183.0,2,"[15183, 22942]"
15196.0,2,"[15196, 64229]"
14263.0,2,"[14263, 77287]"
14358.0,2,"[14358, 14359]"
14366.0,2,"[14366, 80727]"
14368.0,2,"[14368, 14375]"
14376.0,2,"[14376, 81699]"
14387.0,2,"[14387, 60318]"
15563.0,2,"[15563, 15578]"
14808.0,2,"[14808, 86566]"
14865.0,2,"[14865, 40998]"
14870.0,2,"[14870, 15617]"
14904.0,2,"[14904, 91917]"
14940.0,2,"[14940, 87679]"
14951.0,2,"[14951, 14956]"
